"","name","address","phone","website","type","degrees","campus_setting","campus_housing","student_population","student_teacher_ratio","tot_enrol","undergrad_enrol","latitude","longitude"
"160","Institute of Advanced Medical Esthetics","405 england st Ashland Virginia 23005-2111","(804) 908-3223","www.theinstituteofadvancedmedicalesthetics.com/","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","3 (all undergraduate)","9 to 1",3,"all",37.7578235,-77.4744284
"161","Kenny's Beauty Academy","3461 Washington Boulevard Arlington Virginia 22201-4531","(571) 522-4556","www.kennysbeautyacademy.com/","< 2-year, Private for-profit","Less than one year certificateOne but less than two years certificate","City: Midsize","No","8 (all undergraduate)","3 to 1",8,"all",38.8864449,-77.1030521
"162","Luckes Beauty Academy LLC","888 J. Clyde Morris Boulevard Newport  News Virginia 23601-1303","(757) 599-0534","www.luckesbeautyacademy.com/","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","39 (all undergraduate)","11 to 1",39,"all",37.0836891,-76.4573182
"163","Northern Virginia School of Therapeutic Massage","6402 Arlington Blvd Suite 840 Falls Church Virginia 22042-4302","(703) 533-3113","www.nvschoolofmassage.com/","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","152 (all undergraduate)","13 to 1",152,"all",38.873425,-77.1600716
"164","Paul Mitchell the School-Roanoke","658 Brandon Ave SW Ste 210 Roanoke Virginia 24015","(540) 343-0153","roanoke.paulmitchell.edu/","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","132 (all undergraduate)","10 to 1",132,"all",37.2553112,-79.9576808
"165","Paul Mitchell the School-Tysons Corner","8041-L Tysons Corner Ctr McLean Virginia 22102","(703) 288-0008","paulmitchell.edu/tysonscorner","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","197 (all undergraduate)","15 to 1",197,"all",38.9168662,-77.2225269
"166","Paul Mitchell the School-Woodbridge","14445 Potomac Mills Road Woodbridge Virginia 22192","(703) 498-2021","paulmitchell.edu/woodbridge","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","143 (all undergraduate)","15 to 1",143,"all",38.6353403,-77.2932655
"167","Rudy & Kelly Academy, A Paul Mitchell Partner School","1920 Centerville Turnpike Suite 114 Virginia Beach Virginia 23464","(757) 473-9797","paulmitchell.edu/virginiabeach","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","199 (all undergraduate)","15 to 1",199,"all",36.7792797,-76.1894995
"168","Staunton School of Cosmetology","128 E Beverly Street Staunton Virginia 24401-4323","(540) 885-0808","hairstylingschool.com/","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","30 (all undergraduate)","12 to 1",30,"all",38.1495202,-79.070883
"169","Suffolk Beauty Academy","860 Portsmouth Blvd Suffolk Virginia 23434-3020","(757) 934-0656","suffolkbeautyacademy.edu/","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","12 (all undergraduate)","6 to 1",12,"all",36.7394841,-76.5640406
"170","Sylvain Melloul International Hair Academy","3405 Candlers Mountain Rd. #G360 Lynchburg Virginia 24502-2652","(434) 385-7722","smiha.edu/","< 2-year, Private for-profit","Less than one year certificateOne but less than two years certificate","City: Small","No","138 (all undergraduate)","10 to 1",138,"all",37.3651374,-79.1784848
"171","The Chrysm Institute of Esthetics","281 Independence Blvd Suite 101 Virginia Beach Virginia 23462-2980","(757) 456-5386","www.chrysm.org/","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","165 (all undergraduate)","20 to 1",165,"all",36.8451753,-76.1373405
"172","The Esthetic Institute","8381 Old Courthouse Road STE 320 Vienna Virginia 22182-3818","(703) 288-4228 x107","estheticinstitute.com/","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","126 (all undergraduate)","16 to 1",126,"all",38.9143548,-77.2342602
"173","Tidewater Tech-Trades","4535 E. Princess Anne Rd. Norfolk Virginia 23502","(757) 858-8324","www.tidewatertechtrades.edu/","< 2-year, Private for-profit","Less than one year certificateOne but less than two years certificate","City: Midsize","No","436 (all undergraduate)","12 to 1",436,"all",36.8661783,-76.2342426
"174","Tomorrow's Image Barber And Beauty Academy of Virginia","490 Suite F Denbigh Boulevard Newport News Virginia 23608-5532","(757) 874-1300","www.tomorrowsimage.com/","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","8 (all undergraduate)","7 to 1",8,"all",37.1456729,-76.5136476
"175","Virginia Beach City Public Schools School of Practical Nursing","2925 N Landing Rd Virginia Beach Virginia 23456-2499","(757) 648-6050 x0","techcenter.vbschools.com/our_school/programs/licensed_practical_nursing","< 2-year, Public","One but less than two years certificate","City: Large","No","52 (all undergraduate)","7 to 1",52,"all",36.742639,-76.0744531
